      0: system.ruby.l1_cntrl0.L1Dcache:  HelloWorld! From a SimObject (startup).
      0: system.ruby.l1_cntrl0.L1Icache:  HelloWorld! From a SimObject (startup).
      0: system.ruby.l2_cntrl0.L2cache:  HelloWorld! From a SimObject (startup).
 430000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 430000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 4.
 440000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 4.
 440000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 440000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 7.
 450000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 7.
 450000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 450000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 4.
 460000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 4.
 460000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 460000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 7.
 470000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 7.
 470000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 470000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 4.
 480000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 4.
 480000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 480000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 7.
 490000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 7.
 490000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 490000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 5.
 500000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 5.
 500000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 500000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 8.
 510000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 8.
